employeeid,age,gender,department,jobrole,monthlyincome,yearsatcompany,distancefromhome,overtime,martialstatus,educationfield,jobsatisfaction,environmentstatiafaction,attrition
109,21,Male,IT,Software Engineer,4215,2,37,No,Single,Other,2,2,Yes
110,39,Male,Research & Development,Research Scientist,5098,4,10,Yes,Divorced,Marketing,1,3,No
111,19,Female,Sales,Account Manager,2009,1,16,Yes,Single,Medical,1,3,Yes
112,44,Female,Research & Development,Data Analyst,4064,8,29,Yes,Divorced,Other,1,4,Yes
113,57,Male,IT,Software Engineer,6306,4,2,Yes,Married,Technical Degree,3,4,No
114,46,Male,Sales,Sales Representative,4206,6,39,Yes,Single,Medical,1,3,Yes
115,53,Female,Operations,Coordinator,5565,3,30,No,Single,Life Sciences,4,3,No
116,31,Female,Operations,Coordinator,5009,3,27,No,Married,Technical Degree,4,2,No
117,45,Female,Sales,Sales Representative,4718,6,10,No,Single,Life Sciences,3,3,No
118,24,Female,Sales,Sales Representative,6260,6,38,No,Divorced,Life Sciences,2,1,No
119,21,Male,Operations,Operations Manager,4223,0,7,No,Single,Technical Degree,3,3,No
120,53,Male,Sales,Sales Representative,5772,3,37,No,Married,Other,1,3,No
121,59,Female,IT,BI Analyst,4362,2,12,Yes,Divorced,Marketing,3,1,No
122,29,Male,Human Resources,HR Executive,7038,8,10,Yes,Single,Other,4,1,No
123,39,Male,Finance,Accountant,3848,1,21,Yes,Single,Medical,3,3,Yes
124,23,Female,IT,Software Engineer,4216,4,32,No,Married,Marketing,4,4,No
125,40,Female,IT,Software Engineer,7735,13,38,No,Divorced,Marketing,1,3,Yes
126,21,Male,Finance,Finance Manager,5101,0,14,Yes,Married,Marketing,2,3,Yes
127,45,Male,Sales,Sales Representative,8738,14,35,Yes,Divorced,Other,2,4,No
128,43,Male,Human Resources,HR Executive,3418,0,30,Yes,Married,Other,4,1,No
129,58,Male,Finance,Finance Manager,5900,11,26,No,Married,Medical,3,1,No
130,41,Female,IT,System Administrator,6679,7,16,Yes,Divorced,Technical Degree,4,1,No
131,39,Male,Finance,Accountant,4428,2,5,Yes,Divorced,Other,3,2,Yes
132,59,Female,Human Resources,Recruiter,2770,0,10,Yes,Single,Medical,2,1,No
133,29,Female,Operations,Operations Analyst,3502,4,37,No,Divorced,Marketing,4,4,No
134,46,Male,Sales,Sales Representative,5283,12,23,No,Married,Technical Degree,3,1,No
135,36,Male,Sales,Sales Representative,5156,4,30,Yes,Married,Other,1,4,No
136,48,Female,Human Resources,HR Manager,5026,11,7,Yes,Divorced,Life Sciences,1,4,No
137,33,Female,Research & Development,Research Scientist,6512,10,24,No,Married,Technical Degree,4,2,No
138,56,Male,Human Resources,HR Manager,5054,2,22,Yes,Divorced,Technical Degree,3,1,No
139,56,Male,Operations,Coordinator,4779,6,38,Yes,Married,Marketing,3,1,No
140,43,Female,Operations,Coordinator,5037,6,36,Yes,Divorced,Marketing,1,3,No
141,51,Female,Operations,Coordinator,6294,6,2,Yes,Married,Medical,4,3,No
142,30,Female,Human Resources,Recruiter,5514,12,5,Yes,Single,Other,2,2,No
143,20,Male,Operations,Coordinator,2157,2,10,No,Single,Other,2,4,No
144,46,Female,Research & Development,Data Analyst,5955,5,16,Yes,Divorced,Marketing,4,3,No
145,52,Female,Finance,Financial Analyst,5002,7,13,Yes,Divorced,Other,3,4,No
146,42,Male,Finance,Accountant,4658,5,39,No,Married,Life Sciences,2,2,No
147,24,Female,Human Resources,HR Manager,5769,3,11,Yes,Married,Other,3,1,Yes
148,32,Male,Finance,Financial Analyst,4918,7,27,No,Married,Other,3,1,No
149,41,Female,Finance,Financial Analyst,6618,9,7,Yes,Single,Medical,1,3,Yes
150,26,Male,Finance,Finance Manager,6755,8,6,No,Married,Medical,4,1,No
151,56,Female,IT,BI Analyst,3827,2,16,No,Single,Life Sciences,1,3,No
152,47,Male,Operations,Coordinator,6732,8,39,Yes,Divorced,Other,1,4,No
153,36,Female,Operations,Operations Analyst,5390,5,16,No,Single,Life Sciences,1,3,No
154,51,Female,Human Resources,HR Executive,6040,11,3,Yes,Married,Marketing,4,4,No
155,40,Male,Human Resources,HR Executive,5757,8,9,Yes,Married,Other,1,3,No
156,47,Female,Operations,Operations Analyst,6568,5,5,No,Single,Marketing,2,2,No
157,38,Male,Research & Development,Research Scientist,7226,9,17,No,Divorced,Medical,4,4,No
158,39,Female,Sales,Account Manager,6775,11,28,No,Divorced,Technical Degree,1,3,No
159,29,Female,Finance,Accountant,5627,8,34,No,Single,Technical Degree,4,3,Yes
160,52,Female,IT,Software Engineer,5593,7,6,No,Divorced,Marketing,3,1,No
161,45,Male,IT,BI Analyst,6214,6,29,Yes,Divorced,Marketing,4,3,No
162,58,Male,Finance,Accountant,7010,2,24,Yes,Single,Medical,1,4,No
163,20,Female,Operations,Operations Manager,2792,1,24,Yes,Married,Other,1,2,Yes
164,46,Male,Research & Development,Data Analyst,7449,10,5,No,Divorced,Marketing,3,4,No
165,33,Female,Operations,Operations Manager,6754,8,32,Yes,Divorced,Life Sciences,1,2,Yes
166,46,Male,Human Resources,HR Manager,4173,5,13,Yes,Single,Life Sciences,3,4,No
167,23,Female,Operations,Operations Manager,4437,5,36,No,Married,Medical,3,1,No
168,29,Male,Operations,Coordinator,6073,9,13,No,Single,Technical Degree,2,1,Yes
169,41,Female,IT,BI Analyst,4114,2,5,No,Married,Technical Degree,2,1,No
170,22,Female,Finance,Finance Manager,4323,4,29,Yes,Divorced,Other,3,1,No
171,55,Male,IT,BI Analyst,4792,2,33,Yes,Single,Other,2,4,Yes
172,38,Female,Research & Development,Research Scientist,4891,6,6,Yes,Single,Other,3,3,No
173,57,Female,Operations,Operations Manager,5278,4,11,Yes,Divorced,Life Sciences,2,2,No
174,20,Male,Sales,Sales Executive,2311,0,40,No,Married,Other,2,4,No
175,33,Male,Human Resources,Recruiter,4493,3,5,No,Single,Technical Degree,3,4,No
176,39,Female,Finance,Financial Analyst,7520,7,23,Yes,Single,Marketing,3,3,No
177,33,Male,Sales,Sales Representative,6058,9,29,No,Single,Life Sciences,1,3,Yes
178,44,Female,Finance,Finance Manager,4046,5,37,Yes,Single,Medical,2,3,No
179,49,Female,IT,System Administrator,4903,5,6,No,Divorced,Technical Degree,4,1,No
180,40,Female,Research & Development,Data Analyst,4757,7,32,Yes,Married,Other,1,3,Yes
181,26,Male,Sales,Sales Representative,7839,8,24,No,Married,Life Sciences,3,4,No
182,53,Female,Research & Development,Laboratory Technician,5732,5,33,No,Divorced,Marketing,1,4,No
183,57,Female,IT,BI Analyst,5518,8,26,Yes,Married,Other,2,1,No
184,56,Male,Research & Development,Research Scientist,5515,6,3,No,Divorced,Marketing,1,1,No
185,27,Female,IT,System Administrator,4572,6,11,Yes,Divorced,Marketing,3,3,No
186,52,Female,IT,BI Analyst,6097,6,2,No,Married,Life Sciences,3,4,No
187,58,Male,IT,System Administrator,7901,11,38,Yes,Divorced,Life Sciences,4,3,No
188,58,Male,Research & Development,Data Analyst,6579,14,3,No,Single,Life Sciences,2,2,No
189,44,Male,Finance,Financial Analyst,6470,9,4,Yes,Divorced,Medical,4,4,No
190,51,Female,Operations,Operations Manager,6530,14,30,No,Divorced,Marketing,3,2,No
191,59,Female,Operations,Coordinator,3780,2,16,No,Divorced,Marketing,4,2,No
192,31,Female,Human Resources,Recruiter,3369,0,23,No,Married,Life Sciences,3,4,No
193,43,Female,IT,System Administrator,4680,2,3,No,Divorced,Life Sciences,2,3,No
194,34,Female,Finance,Finance Manager,8001,7,35,No,Divorced,Marketing,2,2,Yes
195,55,Male,IT,BI Analyst,5557,9,34,Yes,Divorced,Medical,2,1,Yes
196,48,Male,Finance,Accountant,5090,2,36,Yes,Married,Technical Degree,2,1,No
197,38,Male,Research & Development,Laboratory Technician,6197,0,37,No,Divorced,Life Sciences,1,1,No
198,29,Female,Research & Development,Laboratory Technician,5936,10,12,Yes,Single,Life Sciences,4,4,No
199,39,Female,IT,Software Engineer,5624,0,9,No,Married,Medical,4,4,No
200,47,Female,Human Resources,HR Executive,6735,5,22,No,Divorced,Medical,2,1,No
201,45,Male,Operations,Operations Manager,3280,0,7,No,Single,Technical Degree,1,4,No
202,34,Female,Research & Development,Research Scientist,5556,6,18,No,Married,Other,2,4,No
203,59,Female,Sales,Sales Representative,5747,4,8,No,Married,Medical,2,1,No
204,37,Male,IT,BI Analyst,4079,1,40,Yes,Single,Medical,3,3,No
205,56,Male,Finance,Finance Manager,6117,6,35,No,Single,Other,4,4,No
206,46,Male,Sales,Account Manager,4650,8,4,No,Divorced,Other,1,1,Yes
207,46,Female,Human Resources,HR Manager,5533,0,6,Yes,Single,Technical Degree,2,4,Yes
208,54,Female,Finance,Accountant,4851,7,2,Yes,Married,Life Sciences,4,3,No
209,20,Male,IT,Software Engineer,4638,2,35,No,Single,Technical Degree,3,1,Yes
210,26,Female,Finance,Financial Analyst,6081,8,29,No,Married,Life Sciences,3,4,No
211,26,Female,Operations,Coordinator,8106,8,35,No,Divorced,Medical,1,2,No
212,19,Female,Research & Development,Research Scientist,5415,1,35,No,Single,Medical,4,4,No
213,30,Male,Research & Development,Laboratory Technician,7642,8,40,Yes,Single,Medical,1,4,Yes
214,46,Female,IT,Software Engineer,5323,2,26,Yes,Single,Other,2,1,Yes
215,50,Female,Sales,Sales Executive,4389,10,37,No,Single,Marketing,2,3,No
216,32,Male,Operations,Coordinator,1802,1,4,No,Divorced,Technical Degree,3,3,No
217,59,Male,Sales,Sales Representative,5861,4,27,No,Married,Technical Degree,3,4,No
218,33,Male,IT,System Administrator,7088,12,30,Yes,Divorced,Technical Degree,3,2,No
219,26,Female,IT,BI Analyst,4343,8,14,No,Divorced,Life Sciences,2,3,No
220,52,Male,Human Resources,HR Executive,3933,0,25,Yes,Single,Medical,1,3,No
221,60,Female,IT,BI Analyst,5710,7,22,Yes,Single,Medical,4,2,No
222,48,Female,Operations,Operations Analyst,3893,0,16,Yes,Married,Technical Degree,2,4,No
223,37,Male,Operations,Operations Manager,4803,0,30,No,Divorced,Technical Degree,3,4,No
224,41,Male,Human Resources,HR Executive,4622,7,37,No,Divorced,Medical,4,1,Yes
225,55,Female,IT,BI Analyst,3478,3,13,No,Single,Technical Degree,3,2,No
226,53,Female,Research & Development,Laboratory Technician,6396,5,32,No,Single,Marketing,3,4,No
227,49,Male,Operations,Coordinator,5104,2,5,Yes,Single,Technical Degree,1,1,Yes
228,22,Female,Operations,Operations Analyst,3798,3,33,Yes,Married,Life Sciences,1,2,No
229,48,Female,Operations,Coordinator,4007,5,35,No,Single,Life Sciences,1,1,No
230,36,Male,Human Resources,HR Manager,3312,3,7,Yes,Divorced,Medical,4,2,Yes
231,34,Female,IT,BI Analyst,7292,13,6,No,Married,Technical Degree,3,4,No
232,37,Female,Operations,Operations Analyst,5006,3,26,Yes,Married,Other,1,1,No
233,28,Male,Operations,Operations Analyst,4984,5,22,Yes,Divorced,Life Sciences,4,4,No
234,48,Male,Operations,Coordinator,6909,8,18,No,Single,Marketing,1,1,Yes
235,27,Male,Research & Development,Data Analyst,4059,3,11,No,Divorced,Technical Degree,1,3,No
236,42,Male,IT,System Administrator,2237,4,4,Yes,Married,Medical,1,3,No
237,57,Female,Human Resources,HR Manager,5640,0,18,No,Married,Medical,3,1,No
238,29,Male,Finance,Accountant,6451,11,16,No,Single,Marketing,1,3,Yes
239,27,Male,Operations,Coordinator,6373,8,7,No,Single,Marketing,3,3,No
240,26,Female,Human Resources,HR Executive,7343,8,29,Yes,Single,Life Sciences,2,4,Yes
241,56,Female,IT,Software Engineer,4103,5,19,No,Married,Life Sciences,4,1,No
242,54,Female,IT,Software Engineer,4244,0,9,Yes,Married,Marketing,4,2,No
243,45,Male,Sales,Sales Executive,2793,2,31,No,Married,Marketing,4,3,No
244,49,Female,Operations,Coordinator,3452,3,9,Yes,Single,Technical Degree,4,1,No
245,39,Male,IT,System Administrator,8057,12,39,No,Married,Marketing,3,4,No
246,48,Female,Operations,Operations Analyst,7025,5,21,No,Divorced,Technical Degree,2,4,No
247,42,Male,Research & Development,Laboratory Technician,4466,6,8,No,Divorced,Other,4,3,No
248,47,Female,IT,Software Engineer,7646,12,5,Yes,Divorced,Technical Degree,4,3,Yes
249,34,Female,Human Resources,HR Executive,4021,1,5,Yes,Divorced,Technical Degree,4,4,No
250,44,Male,IT,BI Analyst,2840,2,7,Yes,Divorced,Marketing,3,1,Yes
251,54,Male,IT,Software Engineer,8541,9,7,No,Single,Marketing,3,4,No
252,53,Female,Operations,Coordinator,4675,0,26,Yes,Divorced,Other,4,3,No
253,19,Male,Research & Development,Laboratory Technician,3665,1,27,No,Single,Medical,1,3,No
254,31,Female,Human Resources,Recruiter,3713,3,7,No,Divorced,Technical Degree,3,4,No
255,25,Male,Human Resources,HR Executive,4502,6,11,Yes,Divorced,Medical,3,1,No
256,45,Male,Human Resources,HR Manager,5689,7,12,No,Divorced,Technical Degree,2,4,No
257,30,Male,Operations,Coordinator,4160,5,1,No,Single,Marketing,4,4,No
258,24,Female,Sales,Account Manager,5656,3,13,Yes,Single,Marketing,3,3,No
259,58,Male,Finance,Finance Manager,4826,8,38,No,Married,Marketing,4,4,No
260,37,Male,IT,Software Engineer,6401,6,8,Yes,Married,Life Sciences,2,3,Yes
261,50,Female,Operations,Operations Analyst,4652,0,37,No,Married,Medical,4,2,No
262,59,Male,IT,BI Analyst,5434,3,19,Yes,Single,Marketing,2,4,No
263,40,Female,IT,Software Engineer,2334,2,13,Yes,Divorced,Other,4,2,No
264,49,Male,Finance,Finance Manager,4057,0,11,No,Divorced,Life Sciences,4,4,No
265,20,Female,Research & Development,Laboratory Technician,3414,2,11,No,Divorced,Technical Degree,2,3,No
266,25,Male,Sales,Account Manager,3756,7,29,No,Married,Life Sciences,3,1,No
267,37,Male,Operations,Operations Analyst,3796,5,23,Yes,Married,Life Sciences,4,3,No
268,55,Male,Research & Development,Research Scientist,4806,3,40,No,Single,Medical,4,2,No
269,52,Female,IT,System Administrator,4038,2,19,No,Divorced,Marketing,2,3,No
270,24,Male,IT,BI Analyst,4807,6,18,Yes,Divorced,Medical,4,1,No
271,33,Female,Operations,Operations Manager,4894,9,37,No,Divorced,Technical Degree,4,2,No
272,23,Female,Sales,Account Manager,6979,5,30,No,Married,Other,3,3,Yes
273,47,Female,Operations,Operations Analyst,3043,0,14,No,Single,Technical Degree,1,4,No
274,53,Male,Human Resources,Recruiter,5756,8,4,Yes,Single,Technical Degree,4,3,Yes
275,47,Female,Research & Development,Laboratory Technician,5025,7,9,Yes,Single,Marketing,4,2,Yes
276,23,Female,Human Resources,Recruiter,5063,5,26,No,Divorced,Medical,2,1,No
277,24,Male,Sales,Account Manager,5805,6,5,Yes,Divorced,Medical,2,4,No
278,18,Female,Finance,Financial Analyst,3505,0,9,No,Single,Medical,1,4,No
279,24,Female,Operations,Operations Analyst,4480,4,9,No,Single,Medical,3,3,Yes
280,57,Male,IT,Software Engineer,5244,7,14,Yes,Married,Other,4,3,No
281,24,Female,Research & Development,Research Scientist,7990,6,23,Yes,Married,Medical,1,4,Yes
282,33,Male,Operations,Operations Analyst,5858,9,14,No,Divorced,Technical Degree,1,3,No
283,49,Male,Sales,Sales Executive,6010,10,32,No,Divorced,Life Sciences,1,2,No
284,42,Male,Human Resources,HR Executive,2790,0,31,No,Single,Other,3,2,Yes
285,20,Female,Human Resources,HR Executive,3578,0,33,Yes,Married,Technical Degree,4,3,Yes
286,57,Male,IT,BI Analyst,7511,6,20,Yes,Divorced,Medical,3,1,No
287,38,Male,Research & Development,Data Analyst,5487,7,28,No,Single,Medical,1,3,Yes
288,47,Male,Finance,Financial Analyst,3596,9,8,Yes,Divorced,Medical,3,2,No
289,40,Female,Research & Development,Laboratory Technician,6425,6,9,No,Divorced,Life Sciences,2,3,No
290,45,Male,Sales,Sales Representative,5372,0,37,No,Married,Technical Degree,1,3,No
291,54,Male,Sales,Sales Representative,5251,7,17,Yes,Divorced,Life Sciences,3,2,No
292,20,Female,IT,Software Engineer,7224,2,31,Yes,Married,Medical,2,1,Yes
293,59,Female,Sales,Account Manager,5797,6,16,No,Divorced,Marketing,2,3,No
294,41,Male,Sales,Account Manager,3980,4,15,Yes,Married,Life Sciences,1,2,No
295,38,Male,Human Resources,Recruiter,5222,9,24,Yes,Married,Other,4,1,No
296,33,Male,Operations,Coordinator,4926,6,13,No,Single,Life Sciences,3,4,No
297,52,Female,Sales,Sales Executive,6150,7,1,No,Divorced,Marketing,1,3,Yes
298,44,Male,IT,Software Engineer,5887,10,18,No,Single,Medical,1,2,No
299,41,Male,IT,System Administrator,3825,4,33,No,Divorced,Technical Degree,1,1,Yes
300,45,Female,IT,Software Engineer,5452,4,17,Yes,Married,Marketing,2,3,No
301,22,Male,Human Resources,HR Executive,3893,4,10,Yes,Single,Technical Degree,2,1,No
302,52,Female,Finance,Financial Analyst,7876,9,20,No,Married,Life Sciences,2,4,Yes
303,56,Male,Operations,Operations Manager,8002,7,10,Yes,Divorced,Medical,2,3,No
304,21,Female,Finance,Finance Manager,3006,2,2,No,Married,Other,3,2,No
305,47,Male,Research & Development,Research Scientist,5795,0,1,Yes,Single,Medical,2,1,Yes
306,58,Male,Finance,Accountant,5933,8,2,Yes,Single,Technical Degree,3,1,No
307,25,Female,Sales,Sales Representative,4399,7,11,Yes,Divorced,Technical Degree,4,1,No
308,45,Female,Finance,Finance Manager,7905,15,12,Yes,Married,Technical Degree,3,2,No
309,57,Female,Sales,Account Manager,6370,6,27,Yes,Single,Life Sciences,3,4,No
310,30,Female,Research & Development,Laboratory Technician,6018,7,23,Yes,Divorced,Technical Degree,1,4,No
311,38,Female,IT,BI Analyst,5065,2,2,No,Divorced,Medical,3,2,Yes
312,48,Male,Human Resources,HR Executive,8864,13,7,No,Divorced,Medical,2,2,No
313,32,Male,Operations,Operations Analyst,6386,12,12,No,Divorced,Marketing,3,2,No
314,55,Male,Operations,Operations Manager,4349,2,37,Yes,Married,Other,3,2,No
315,23,Female,Finance,Financial Analyst,6563,5,2,Yes,Single,Marketing,2,2,No
316,39,Male,Research & Development,Research Scientist,5835,0,2,Yes,Divorced,Medical,3,1,No
317,22,Female,IT,System Administrator,4487,4,22,No,Married,Medical,4,1,No
318,58,Female,Operations,Operations Manager,2264,1,36,No,Single,Other,3,2,No
